Data;Hora UTC;PRECIPITAO TOTAL. HORARIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO. HORARIA (mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m2);TEMPERATURA DO AR - BULBO SECO. HORARIA (C);TEMPERATURA DO PONTO DE ORVALHO (C);TEMPERATURA MAXIMA NA HORA ANT. (AUT) (C);TEMPERATURA MINIMA NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR. HORARIA (%);VENTO. DIREAO HORARIA (gr) ((gr));VENTO. RAJADA MAXIMA (m/s);VENTO. VELOCIDADE HORARIA (m/s);REGIAO;UF;ESTACAO;CODIGO (WMO);LATITUDE;LONGITUDE;ALTITUDE;DATA DE FUNDACAO
2021/06/10;0300 UTC;0;961.1;961.5;961.1;;19.1;17.7;19.3;19.1;17.9;17.6;92.0;91.0;92.0;118.0;3.1;1.7;SE;RJ;RIO CLARO;A626;-22.653579;-44.040916;516;03/06/16
2020/08/11;0300 UTC;0;967.4;967.4;967;;17.8;8;18.7;17.8;8.1;7.9;53.0;49.0;53.0;215.0;5.6;4.2;S;PR;MAL. CANDIDO RONDON;A820;-24.53333333;-54.01916666;392.07;18/11/06
2020/04/24;1900 UTC;;;;;;;;;;;;;;;;;;N;PA;SERRA DOS CARAJAS;A230;-6.077427;-50.142265;707;03/09/08
2021/10/08;0300 UTC;0;960.9;961.2;960.8;;20.4;20.2;20.4;20.1;20.2;19.8;99.0;98.0;99.0;155.0;2.8;2.1;CO;MS;RIBAS DO RIO PARDO;S715;-20.466694;-53.763028;442;18/01/18
2022/11/17;2000 UTC;0;1016.1;1016.1;1015.9;1919.2;25.6;17.1;26.3;25.2;17.8;16;62.0;55.0;60.0;;4;2.7;S;RS;Santa Vitoria do Palmar - Barra do Chui;A899;-33.74222221;-53.37222221;7.41;08/03/08
2021/01/13;2000 UTC;0;925.7;925.9;925.5;1705;25.2;19.8;28;24.9;21.8;19.2;72.0;64.0;72.0;95.0;6.4;1.8;S;PR;SAO MATEUS DO SUL;A874;-25.83555555;-50.36888888;780.21;17/04/11
2021/12/20;1800 UTC;0;963;963.4;962.9;1671.6;32.6;16.1;34;32.6;16.5;15.4;37.0;34.0;37.0;144.0;8.2;1.6;NE;PB;CABACEIRAS;A348;-7.48333333;-36.28638888;391.96;28/02/08
2020/05/24;0700 UTC;0;979.7;980.2;979.7;;17.9;14;18.2;17.9;14.2;14;78.0;78.0;78.0;272.0;5;1.8;CO;GO;ARAGARCAS;A013;-15.902658;-52.245172;327.35;13/07/07
2021/10/09;0700 UTC;0;908.2;908.4;906.7;0;11.8;11.4;11.9;11.8;11.4;11.3;97.0;96.0;97.0;;;;S;SC;LAGES;A865;-27.80222222;-50.33555555;952.7;06/11/14
2022/05/06;1200 UTC;0;954.7;954.7;954.3;973.6;;;;;;;75.0;64.0;65.0;284.0;7.8;5.3;CO;MT;SAPEZAL;A911;-13.30388888;-58.76333333;105;20/10/17
